"GRID_ID","X_COORDINATE_CENTER","Y_COORDINATE_CENTER","INJURED_LEVEL1","INJURED_LEVEL2","INJURED_LEVEL3","INJURED_LEVEL4"
"10822047","28.2","41.16","0","0","0","0"
"11002175","28.84","41.25","0","0","0","0"
"10612351","29.72","41.055","0","0","0","0"
"10722348","29.705","41.11","0","0","0","0"
"10582224","29.085","41.04","6.09317525319","2.18804401301","0","0"
"10732042","28.175","41.115","0","0","0","0"
"10612279","29.36","41.055","0","0","0","0"
"10662018","28.055","41.08","0","0","0","0"
"10902055","28.24","41.2","0","0","0","0"
"10262287","29.4","40.88","0","0","0","0"
"10602080","28.365","41.05","0","0","0","0"
"10712217","29.05","41.105","0","0","0","0"
"11242090","28.415","41.37","0","0","0","0"
"10272261","29.27","40.885","10.8807245923","4.13244111465","0.451882300415","0.760144026005"
"10572009","28.01","41.035","1.66592261858","0.893430033022","0","0"
"10662087","28.4","41.08","0","0","0","0"
"10712340","29.665","41.105","0","0","0","0"
"10422283","29.38","40.96","0","0","0","0"
"11082082","28.375","41.29","0","0","0","0"
"10692135","28.64","41.095","0","0","0","0"
"11342099","28.46","41.42","0","0","0","0"
"10462178","28.855","40.98","179.243413184","108.863251273","22.66897716","42.7341407633"
"10542228","29.105","41.02","4.02012835848","0.884926329395","0","0"
"10542257","29.25","41.02","5.51954727487","1.60846747508","0","0"
"10912027","28.1","41.205","0","0","0","0"
"10382277","29.35","40.94","0","0","0","0"
"10652341","29.67","41.075","0","0","0","0"
"10932049","28.21","41.215","0","0","0","0"
"10702382","29.875","41.1","0","0","0","0"
"10672053","28.23","41.085","0","0","0","0"
"11222106","28.495","41.36","0","0","0","0"
"10962059","28.26","41.23","0","0","0","0"
"10582210","29.015","41.04","0","0","0","0"
"10662380","29.865","41.08","0","0","0","0"
"11112139","28.66","41.305","0","0","0","0"
"10942207","29","41.22","0","0","0","0"
"10882272","29.325","41.19","0","0","0","0"
"10742197","28.95","41.12","0","0","0","0"
"11492039","28.16","41.495","0","0","0","0"
"11152034","28.135","41.325","0","0","0","0"
"10632251","29.22","41.065","0","0","0","0"
"11362032","28.125","41.43","0","0","0","0"
"10812200","28.965","41.155","0","0","0","0"
"10782322","29.575","41.14","0","0","0","0"
"10492140","28.665","40.995","0.863669539465","0.531775303803","0","0"
"10632077","28.35","41.065","0","0","0","0"
"10652120","28.565","41.075","0","0","0","0"
"10992146","28.695","41.245","0","0","0","0"
"10412173","28.83","40.955","9.41795711594","5.63070653312","0.666358841673","2.19051026813"
"10472341","29.67","40.985","0","0","0","0"
"11612032","28.125","41.555","0","0","0","0"
"11312072","28.325","41.405","0","0","0","0"
"11112109","28.51","41.305","0","0","0","0"
"10992018","28.055","41.245","0","0","0","0"
"10902043","28.18","41.2","0","0","0","0"
"10772162","28.775","41.135","0.442930860167","0","0","0"
"10702152","28.725","41.1","0","0","0","0"
"10732362","29.775","41.115","0","0","0","0"
"10932091","28.42","41.215","0","0","0","0"
"11032173","28.83","41.265","0","0","0","0"
"11082061","28.27","41.29","0","0","0","0"
"10672104","28.485","41.085","0","0","0","0"
"10812128","28.605","41.155","0","0","0","0"
"10872165","28.79","41.185","0","0","0","0"
"10602101","28.47","41.05","0","0","0","0"
"10722213","29.03","41.11","0","0","0","0"
"11012019","28.06","41.255","0","0","0","0"
"10682249","29.21","41.09","0","0","0","0"
"11142038","28.155","41.32","0","0","0","0"
"10602373","29.83","41.05","0","0","0","0"
"10792195","28.94","41.145","0","0","0","0"
"10852071","28.32","41.175","0","0","0","0"
"10262224","29.085","40.88","0","0","0","0"
"10532143","28.68","41.015","0.630853080679","0","0","0"
"10992188","28.905","41.245","0","0","0","0"
"10612076","28.345","41.055","0","0","0","0"
"11022045","28.19","41.26","0","0","0","0"
"10852194","28.935","41.175","0","0","0","0"
"11272096","28.445","41.385","0","0","0","0"
"10982081","28.37","41.24","0","0","0","0"
"11232102","28.475","41.365","0","0","0","0"
"11352087","28.4","41.425","0","0","0","0"
"10712319","29.56","41.105","0","0","0","0"
"11162150","28.715","41.33","0","0","0","0"
"10972187","28.9","41.235","0","0","0","0"
"11212059","28.26","41.355","0","0","0","0"
"10622242","29.175","41.06","0","0","0","0"
"10672304","29.485","41.085","0","0","0","0"
"10772075","28.34","41.135","0","0","0","0"
"11502035","28.14","41.5","0","0","0","0"
"10742295","29.44","41.12","0","0","0","0"
"10372234","29.135","40.935","4.46760325153","1.27143867155","0","0.467294645954"
"11562042","28.175","41.53","0","0","0","0"
"10732311","29.52","41.115","0","0","0","0"
"10612267","29.3","41.055","0","0","0","0"
"10802332","29.625","41.15","0","0","0","0"
"10542142","28.675","41.02","59.1381031655","29.7803993175","5.81326249854","10.8218464036"
"10992167","28.8","41.245","0","0","0","0"
"10642247","29.2","41.07","0","0","0","0"
"11302055","28.24","41.4","0","0","0","0"
"10782050","28.215","41.14","0","0","0","0"
"11042046","28.195","41.27","0","0","0","0"
"10552166","28.795","41.025","147.518492896","78.3853153361","15.8777364811","29.1143203112"
"10522131","28.62","41.01","0","0","0","0"
"10602343","29.68","41.05","0","0","0","0"
"10862139","28.66","41.18","0","0","0","0"
"10572363","29.78","41.035","0","0","0","0"
"10512266","29.295","41.005","0","0","0","0"
"10782020","28.065","41.14","0","0","0","0"
"11062030","28.115","41.28","0","0","0","0"
"10592113","28.53","41.045","0","0","0","0"
"10622166","28.795","41.06","0.430781477561","0","0","0"
"10702161","28.77","41.1","0","0","0","0"
"10842206","28.995","41.17","0","0","0","0"
